Los Angeles 1932,HUN,NULL,NULL
Munich 1972,PAK,NULL,NULL
Barcelona 1992,CAN,NULL,NULL
Tokyo 1964,FRA,NULL,NULL
Tokyo 1964,GHA,NULL,NULL
Los Angeles 1932,POL,NULL,NULL
London 1908,RSA,NULL,NULL
Moscow 1980,GUY,NULL,NULL
Beijing 2008,TJK,NULL,NULL
London 1908,BOH,NULL,NULL
Los Angeles 1932,ITA,NULL,NULL
Atlanta 1996,IRL,NULL,NULL
Helsinki 1952,GBR,NULL,NULL
Athens 2004,CZE,NULL,NULL
Moscow 1980,ITA,NULL,NULL
Beijing 2008,NZL,NULL,NULL
Tokyo 1964,IRL,NULL,NULL
Antwerp 1920,NOR,NULL,NULL
Beijing 2008,CUB,NULL,NULL
Beijing 2008,BAH,NULL,NULL
London 1948,ESP,NULL,NULL
Barcelona 1992,POL,NULL,NULL
London 2012,BLR,NULL,NULL
Antwerp 1920,SWE,NULL,NULL
Antwerp 1920,LUX,NULL,NULL
Barcelona 1992,MEX,NULL,NULL
Rome 1960,NZL,NULL,NULL
Munich 1972,GBR,NULL,NULL
London 2012,KSA,NULL,NULL
Antwerp 1920,BEL,NULL,NULL
Barcelona 1992,KEN,NULL,NULL
Berlin 1936,NZL,NULL,NULL
London 2012,BUL,NULL,NULL
Los Angeles 1932,JPN,NULL,NULL
Seoul 1988,BRA,NULL,NULL
Moscow 1980,GRE,NULL,NULL
Sydney 2000,ESP,NULL,NULL
Seoul 1988,ISV,NULL,NULL
Sydney 2000,ETH,NULL,NULL
Atlanta 1996,PRK,NULL,NULL
Barcelona 1992,TUR,NULL,NULL
Montreal 1976,JAM,NULL,NULL
Tokyo 1964,NED,NULL,NULL
Helsinki 1952,HUN,NULL,NULL
Los Angeles 1932,AUT,NULL,NULL
Mexico 1968,FRG,NULL,NULL
Los Angeles 1984,TUR,NULL,NULL
Paris 1924,USA,NULL,NULL
Mexico 1968,FRA,NULL,NULL
