16963,Antwerp 1920,NOR
8278,Atlanta 1996,POL
20020,Munich 1972,POL
16813,Montreal 1976,KOR
1457,Los Angeles 1932,TCH
3273,Rome 1960,POR
17814,London 1948,DEN
21291,London 1948,USA
8614,Antwerp 1920,FIN
12293,Moscow 1980,URS
22547,Seoul 1988,NED
16874,Helsinki 1952,IRI
9387,Melbourne / Stockholm 1956,GBR
17315,Moscow 1980,URS
5453,Seoul 1988,BRA
12290,Barcelona 1992,GER
2286,Rome 1960,EUA
3864,Melbourne / Stockholm 1956,HUN
8751,London 2012,ITA
15250,London 1948,FRA
1680,Barcelona 1992,POL
12858,London 1948,URU
5303,Los Angeles 1984,YUG
14832,London 2012,AUS
22498,Rome 1960,PAK
8486,Athens 2004,SCG
1713,Montreal 1976,BUL
17206,Barcelona 1992,USA
6581,Beijing 2008,RUS
13568,Berlin 1936,FIN
11483,Moscow 1980,MEX
6692,Sydney 2000,RUS
6064,London 1948,CAN
8762,Antwerp 1920,FRA
1201,Athens 2004,DEN
8838,Stockholm 1912,USA
6995,London 1908,GBR
13769,Los Angeles 1984,USA
3903,Paris 1900,ZZX
22681,Antwerp 1920,SWE
761,Los Angeles 1984,FRG
5025,Helsinki 1952,HUN
17685,Rome 1960,HUN
17299,Athens 2004,USA
20126,Los Angeles 1984,USA
8093,Atlanta 1996,RUS
16814,Amsterdam 1928,GER
21190,Antwerp 1920,SWE
450,London 1948,USA
6607,Atlanta 1996,USA
16048,Barcelona 1992,GER
16099,Antwerp 1920,BEL
2943,Los Angeles 1984,JPN
9823,Montreal 1976,SWE
21492,Moscow 1980,HUN
9759,Beijing 2008,AUS
6405,London 2012,USA
10186,Beijing 2008,USA
15355,Athens 2004,AUS
22644,Barcelona 1992,GBR
12332,London 1908,USA
18392,London 2012,HUN
15139,London 1908,GBR
21264,Moscow 1980,URS
1518,Montreal 1976,URS
18819,Beijing 2008,GER
19000,Seoul 1988,URS
14700,Mexico 1968,USA
4985,London 1948,NED
15566,Athens 2004,USA
17671,Seoul 1988,FRG
17148,Moscow 1980,YUG
18742,Atlanta 1996,CHN
10988,Montreal 1976,NZL
12070,Sydney 2000,GER
9588,London 1908,FRA
2330,Montreal 1976,PAK
21849,Athens 2004,CUB
10102,Los Angeles 1984,USA
19061,Sydney 2000,CAN
11199,London 1908,SWE
16237,Sydney 2000,KAZ
